destination_iso_country,Day of date,psg_ranking,psg_wow_change,psg_yoy_change,destination_country,passengers_number_7days
NR,"September 23, 2020",8,96.88%,-67.86%,Nauru,252
MH,"September 23, 2020",9,,-85.23%,Marshall Islands (the),166
FM,"September 23, 2020",4,806.25%,-71.32%,Micronesia (Federated States of),870
FJ,"September 23, 2020",2,13.94%,-83.50%,Fiji,5083
WS,"September 24, 2020",8,-5.92%,-94.05%,Samoa,302
VU,"September 24, 2020",3,74.40%,-80.12%,Vanuatu,1594
TO,"September 24, 2020",7,0.00%,-89.82%,Tonga,302
SB,"September 24, 2020",6,-37.97%,-87.53%,Solomon Islands,330
PG,"September 24, 2020",1,-6.84%,-3.58%,Papua New Guinea,26400
NR,"September 24, 2020",5,200.00%,-40.92%,Nauru,384
MH,"September 24, 2020",9,,-85.23%,Marshall Islands (the),166
KI,"September 24, 2020",10,,-93.09%,Kiribati,64
FM,"September 24, 2020",4,264.42%,-74.56%,Micronesia (Federated States of),758
FJ,"September 24, 2020",2,20.50%,-82.34%,Fiji,5420
WS,"September 25, 2020",6,-5.92%,-94.67%,Samoa,302
VU,"September 25, 2020",3,47.05%,-80.32%,Vanuatu,1594
TO,"September 25, 2020",5,0.00%,-89.82%,Tonga,302
PG,"September 25, 2020",1,-5.59%,-5.58%,Papua New Guinea,26509
NR,"September 25, 2020",7,1.57%,-60.31%,Nauru,258
KI,"September 25, 2020",8,,-93.04%,Kiribati,64
FM,"September 25, 2020",4,15.63%,-82.62%,Micronesia (Federated States of),518
FJ,"September 25, 2020",2,8.56%,-82.28%,Fiji,5493
WS,"September 26, 2020",6,-5.92%,-94.49%,Samoa,302
VU,"September 26, 2020",3,74.40%,-79.87%,Vanuatu,1594
TO,"September 26, 2020",5,0.00%,-89.83%,Tonga,302
PG,"September 26, 2020",1,-2.49%,-5.21%,Papua New Guinea,27205
NR,"September 26, 2020",7,-65.26%,-79.63%,Nauru,132
KI,"September 26, 2020",8,,-93.07%,Kiribati,64
FM,"September 26, 2020",4,-4.23%,-79.38%,Micronesia (Federated States of),588
FJ,"September 26, 2020",2,5.53%,-82.16%,Fiji,5493
WS,"September 27, 2020",7,-5.92%,-93.99%,Samoa,302
VU,"September 27, 2020",3,111.60%,-74.77%,Vanuatu,1934
TO,"September 27, 2020",6,0.00%,-89.83%,Tonga,302
SB,"September 27, 2020",5,-41.64%,-88.15%,Solomon Islands,314
PG,"September 27, 2020",1,-0.50%,-4.67%,Papua New Guinea,27509
NR,"September 27, 2020",8,-65.26%,-74.42%,Nauru,132
KI,"September 27, 2020",9,,-93.07%,Kiribati,64
FM,"September 27, 2020",4,-4.23%,-79.38%,Micronesia (Federated States of),588
FJ,"September 27, 2020",2,9.28%,-81.39%,Fiji,5827
WS,"September 28, 2020",7,-5.92%,-94.65%,Samoa,302
VU,"September 28, 2020",3,62.73%,-76.43%,Vanuatu,1764
TO,"September 28, 2020",6,0.00%,-89.70%,Tonga,302
SB,"September 28, 2020",5,-41.64%,-88.69%,Solomon Islands,314
PG,"September 28, 2020",1,-10.67%,-13.84%,Papua New Guinea,25566
NR,"September 28, 2020",8,-31.58%,-49.61%,Nauru,260
KI,"September 28, 2020",9,,-93.07%,Kiribati,64
FM,"September 28, 2020",4,-38.01%,-84.48%,Micronesia (Federated States of),460
FJ,"September 28, 2020",2,3.41%,-82.12%,Fiji,5607
WS,"September 29, 2020",6,-5.92%,-94.62%,Samoa,302
VU,"September 29, 2020",3,25.46%,-81.34%,Vanuatu,1360
SB,"September 29, 2020",4,58.18%,-79.70%,Solomon Islands,522
PG,"September 29, 2020",1,-18.23%,-22.80%,Papua New Guinea,22435
NR,"September 29, 2020",7,-31.58%,-49.02%,Nauru,260
KI,"September 29, 2020",8,,-93.42%,Kiribati,64
FM,"September 29, 2020",5,-38.01%,-84.78%,Micronesia (Federated States of),460
FJ,"September 29, 2020",2,-8.75%,-84.16%,Fiji,5005
WS,"September 30, 2020",6,-5.92%,-94.88%,Samoa,302
VU,"September 30, 2020",3,-6.18%,-81.83%,Vanuatu,1336
SB,"September 30, 2020",4,58.18%,-79.70%,Solomon Islands,522
PG,"September 30, 2020",1,-13.82%,-22.39%,Papua New Guinea,23002
NR,"September 30, 2020",7,3.17%,-49.02%,Nauru,260
KI,"September 30, 2020",8,,-93.42%,Kiribati,64
FM,"September 30, 2020",5,-61.84%,-88.83%,Micronesia (Federated States of),332
FJ,"September 30, 2020",2,2.42%,-83.25%,Fiji,5206
WS,"October 1, 2020",4,91.06%,-90.06%,Samoa,577
VU,"October 1, 2020",3,-26.85%,-84.15%,Vanuatu,1166
SB,"October 1, 2020",5,58.18%,-79.78%,Solomon Islands,522
PG,"October 1, 2020",1,-10.32%,-19.41%,Papua New Guinea,23676
NR,"October 1, 2020",7,-66.67%,-66.67%,Nauru,128
FM,"October 1, 2020",6,-56.20%,-88.41%,Micronesia (Federated States of),332
FJ,"October 1, 2020",2,-2.29%,-82.58%,Fiji,5296
WS,"October 2, 2020",4,91.06%,-89.21%,Samoa,577
VU,"October 2, 2020",3,-26.85%,-83.97%,Vanuatu,1166
SB,"October 2, 2020",5,,-79.78%,Solomon Islands,522
PG,"October 2, 2020",1,-13.82%,-22.26%,Papua New Guinea,22846
NR,"October 2, 2020",7,-50.39%,-66.67%,Nauru,128
FM,"October 2, 2020",6,-35.91%,-88.19%,Micronesia (Federated States of),332
FJ,"October 2, 2020",2,4.64%,-80.95%,Fiji,5748
WS,"October 3, 2020",4,91.06%,-89.63%,Samoa,577
VU,"October 3, 2020",3,-16.19%,-82.26%,Vanuatu,1336
SB,"October 3, 2020",5,,-78.69%,Solomon Islands,522
PG,"October 3, 2020",1,-23.69%,-28.65%,Papua New Guinea,20759
NR,"October 3, 2020",6,-3.03%,-66.14%,Nauru,128
FJ,"October 3, 2020",2,4.30%,-80.97%,Fiji,5729
WS,"October 4, 2020",4,91.06%,-90.34%,Samoa,577
VU,"October 4, 2020",3,-39.71%,-85.03%,Vanuatu,1166
SB,"October 4, 2020",5,12.10%,-85.01%,Solomon Islands,352
PG,"October 4, 2020",1,-24.24%,-28.58%,Papua New Guinea,20840
NR,"October 4, 2020",6,-3.03%,-74.60%,Nauru,128
FJ,"October 4, 2020",2,-6.47%,-81.97%,Fiji,5450
WS,"October 5, 2020",4,91.06%,-89.86%,Samoa,577
VU,"October 5, 2020",3,-30.27%,-83.92%,Vanuatu,1230
SB,"October 5, 2020",5,12.10%,-83.91%,Solomon Islands,352
PG,"October 5, 2020",1,-15.11%,-25.13%,Papua New Guinea,21702
FJ,"October 5, 2020",2,6.83%,-79.65%,Fiji,5990
WS,"October 6, 2020",4,91.06%,-89.77%,Samoa,577
VU,"October 6, 2020",3,-9.56%,-83.62%,Vanuatu,1230
TO,"October 6, 2020",5,,-88.25%,Tonga,302
SB,"October 6, 2020",6,-72.41%,-93.34%,Solomon Islands,144
PG,"October 6, 2020",1,7.38%,-19.96%,Papua New Guinea,24091
FJ,"October 6, 2020",2,30.97%,-77.79%,Fiji,6555
WS,"October 7, 2020",4,103.64%,-89.14%,Samoa,615
VU,"October 7, 2020",3,-14.07%,-84.57%,Vanuatu,1148
TO,"October 7, 2020",5,,-88.53%,Tonga,302
SB,"October 7, 2020",6,-72.41%,-93.34%,Solomon Islands,144
PG,"October 7, 2020",1,-2.71%,-26.19%,Papua New Guinea,22378
FJ,"October 7, 2020",2,38.19%,-75.65%,Fiji,7194
WS,"October 8, 2020",4,11.27%,-88.66%,Samoa,642
VU,"October 8, 2020",3,13.04%,-82.50%,Vanuatu,1318
TO,"October 8, 2020",5,,-89.23%,Tonga,302
SB,"October 8, 2020",7,-72.41%,-93.51%,Solomon Islands,144
PW,"October 8, 2020",6,,-93.27%,Palau,158
PG,"October 8, 2020",1,-11.93%,-32.01%,Papua New Guinea,20852
FJ,"October 8, 2020",2,29.80%,-77.58%,Fiji,6874
WS,"October 9, 2020",5,-41.07%,-93.95%,Samoa,340
VU,"October 9, 2020",3,13.04%,-82.35%,Vanuatu,1318
TO,"October 9, 2020",4,,-73.61%,Tonga,740
SB,"October 9, 2020",6,-44.83%,-87.02%,Solomon Islands,288
PW,"October 9, 2020",7,,-93.38%,Palau,158
PG,"October 9, 2020",1,-5.23%,-29.60%,Papua New Guinea,21652
FJ,"October 9, 2020",2,11.24%,-79.06%,Fiji,6394
WS,"October 10, 2020",5,-41.07%,-93.89%,Samoa,340
VU,"October 10, 2020",3,-14.07%,-84.35%,Vanuatu,1148
TO,"October 10, 2020",4,,-73.61%,Tonga,740
SB,"October 10, 2020",7,-44.83%,-87.02%,Solomon Islands,288
PW,"October 10, 2020",8,,-93.85%,Palau,158
PG,"October 10, 2020",1,13.48%,-24.68%,Papua New Guinea,23558
FM,"October 10, 2020",6,,-85.53%,Micronesia (Federated States of),332
FJ,"October 10, 2020",2,17.04%,-78.01%,Fiji,6705
WS,"October 11, 2020",5,-41.07%,-93.77%,Samoa,340
VU,"October 11, 2020",3,-1.54%,-84.31%,Vanuatu,1148
TO,"October 11, 2020",4,,-73.61%,Tonga,740
SB,"October 11, 2020",8,-59.09%,-93.79%,Solomon Islands,144
PW,"October 11, 2020",7,,-93.51%,Palau,158
PG,"October 11, 2020",1,15.99%,-22.91%,Papua New Guinea,24173
FM,"October 11, 2020",6,,-86.18%,Micronesia (Federated States of),332
FJ,"October 11, 2020",2,21.67%,-78.78%,Fiji,6631
WS,"October 12, 2020",5,-41.07%,-93.74%,Samoa,340
VU,"October 12, 2020",3,-10.33%,-84.93%,Vanuatu,1103
TO,"October 12, 2020",4,,-73.61%,Tonga,740
SB,"October 12, 2020",8,-59.09%,-93.89%,Solomon Islands,144
PW,"October 12, 2020",7,,-92.99%,Palau,158
PG,"October 12, 2020",1,15.42%,-20.43%,Papua New Guinea,25049
FM,"October 12, 2020",6,,-86.68%,Micronesia (Federated States of),332
FJ,"October 12, 2020",2,-0.82%,-80.73%,Fiji,5941
WS,"October 13, 2020",5,-41.07%,-93.63%,Samoa,340
VU,"October 13, 2020",3,8.70%,-81.73%,Vanuatu,1337
TO,"October 13, 2020",4,145.03%,-71.43%,Tonga,740
SB,"October 13, 2020",8,0.00%,-93.89%,Solomon Islands,144
PW,"October 13, 2020",7,,-92.86%,Palau,158
PG,"October 13, 2020",1,12.30%,-13.27%,Papua New Guinea,27053
FM,"October 13, 2020",6,,-86.58%,Micronesia (Federated States of),332
FJ,"October 13, 2020",2,-11.75%,-80.99%,Fiji,5785
WS,"October 14, 2020",6,-50.89%,-94.35%,Samoa,302
VU,"October 14, 2020",3,-3.92%,-85.34%,Vanuatu,1103
TV,"October 14, 2020",11,,0.00%,Tuvalu,64
TO,"October 14, 2020",4,145.03%,-72.99%,Tonga,740
SB,"October 14, 2020",8,0.00%,-93.89%,Solomon Islands,144
PW,"October 14, 2020",7,,-92.73%,Palau,158
PG,"October 14, 2020",1,28.01%,-8.55%,Papua New Guinea,28645
NR,"October 14, 2020",10,,-75.29%,Nauru,126
KI,"October 14, 2020",9,,-88.00%,Kiribati,126
FM,"October 14, 2020",5,,-87.67%,Micronesia (Federated States of),332
FJ,"October 14, 2020",2,-25.26%,-82.54%,Fiji,5377
WS,"October 15, 2020",6,-52.96%,-94.35%,Samoa,302
VU,"October 15, 2020",3,-29.21%,-87.31%,Vanuatu,933
TV,"October 15, 2020",10,,0.00%,Tuvalu,64
TO,"October 15, 2020",4,145.03%,-69.42%,Tonga,740
SB,"October 15, 2020",7,0.00%,-93.74%,Solomon Islands,144
PG,"October 15, 2020",1,43.69%,-3.57%,Papua New Guinea,29963
NR,"October 15, 2020",9,,-85.97%,Nauru,126
KI,"October 15, 2020",8,,-86.42%,Kiribati,126
FM,"October 15, 2020",5,,-81.51%,Micronesia (Federated States of),498
FJ,"October 15, 2020",2,-27.22%,-83.43%,Fiji,5003
WS,"October 16, 2020",7,-11.18%,-94.40%,Samoa,302
VU,"October 16, 2020",3,-29.21%,-86.60%,Vanuatu,933
TV,"October 16, 2020",11,,0.00%,Tuvalu,64
TO,"October 16, 2020",6,-59.19%,-88.53%,Tonga,302
SB,"October 16, 2020",9,-50.00%,-93.74%,Solomon Islands,144
PG,"October 16, 2020",1,36.18%,-6.42%,Papua New Guinea,29485
NR,"October 16, 2020",5,,-57.68%,Nauru,380
MH,"October 16, 2020",8,,-86.55%,Marshall Islands (the),166
KI,"October 16, 2020",10,,-89.30%,Kiribati,126
FM,"October 16, 2020",4,,-81.13%,Micronesia (Federated States of),498
FJ,"October 16, 2020",2,-21.75%,-83.46%,Fiji,5003
WS,"October 17, 2020",6,-11.18%,-94.40%,Samoa,302
VU,"October 17, 2020",3,-18.73%,-86.84%,Vanuatu,933
TV,"October 17, 2020",11,,0.00%,Tuvalu,64
TO,"October 17, 2020",5,-59.19%,-88.37%,Tonga,302
SB,"October 17, 2020",9,-50.00%,-93.74%,Solomon Islands,144
PG,"October 17, 2020",1,27.01%,-6.70%,Papua New Guinea,29921
NR,"October 17, 2020",4,,-50.65%,Nauru,380
MH,"October 17, 2020",8,,-86.55%,Marshall Islands (the),166
KI,"October 17, 2020",10,,-89.30%,Kiribati,126
FM,"October 17, 2020",7,-21.08%,-90.29%,Micronesia (Federated States of),262
FJ,"October 17, 2020",2,-25.49%,-83.52%,Fiji,4996
WS,"October 18, 2020",6,-11.18%,-94.45%,Samoa,302
VU,"October 18, 2020",3,-18.73%,-86.74%,Vanuatu,933
TO,"October 18, 2020",5,-59.19%,-88.08%,Tonga,302
SB,"October 18, 2020",9,0.00%,-93.74%,Solomon Islands,144
PG,"October 18, 2020",1,22.30%,-6.45%,Papua New Guinea,29563
NR,"October 18, 2020",4,,-40.81%,Nauru,380
MH,"October 18, 2020",8,,-85.74%,Marshall Islands (the),166
KI,"October 18, 2020",10,,-88.00%,Kiribati,126
FM,"October 18, 2020",7,-21.08%,-89.88%,Micronesia (Federated States of),262
FJ,"October 18, 2020",2,-26.32%,-82.89%,Fiji,4886
WS,"October 19, 2020",6,-11.18%,-93.97%,Samoa,302
VU,"October 19, 2020",3,-1.72%,-84.22%,Vanuatu,1084
TO,"October 19, 2020",4,-18.38%,-77.60%,Tonga,604
SB,"October 19, 2020",9,0.00%,-93.74%,Solomon Islands,144
PG,"October 19, 2020",1,21.51%,-4.20%,Papua New Guinea,30438
NR,"October 19, 2020",5,,-40.81%,Nauru,380
MH,"October 19, 2020",8,,-85.74%,Marshall Islands (the),166
KI,"October 19, 2020",10,,-88.00%,Kiribati,126
FM,"October 19, 2020",7,-21.08%,-90.02%,Micronesia (Federated States of),262
FJ,"October 19, 2020",2,-6.50%,-80.59%,Fiji,5555
WS,"October 20, 2020",6,-11.18%,-93.81%,Samoa,302
VU,"October 20, 2020",3,-6.21%,-82.23%,Vanuatu,1254
TO,"October 20, 2020",4,-18.38%,-79.25%,Tonga,604
SB,"October 20, 2020",9,0.00%,-93.74%,Solomon Islands,144
PG,"October 20, 2020",1,8.68%,-11.08%,Papua New Guinea,29402
NR,"October 20, 2020",5,,-40.81%,Nauru,380
MH,"October 20, 2020",8,,-82.11%,Marshall Islands (the),166
KI,"October 20, 2020",10,,-83.38%,Kiribati,126
FM,"October 20, 2020",7,-21.08%,-90.09%,Micronesia (Federated States of),262
FJ,"October 20, 2020",2,1.97%,-79.28%,Fiji,5899
WS,"October 21, 2020",5,0.00%,-93.79%,Samoa,302
VU,"October 21, 2020",3,34.90%,-78.50%,Vanuatu,1488
TO,"October 21, 2020",4,-18.38%,-78.12%,Tonga,604
SB,"October 21, 2020",9,0.00%,-93.74%,Solomon Islands,144
PG,"October 21, 2020",1,2.00%,-12.54%,Papua New Guinea,29218
NR,"October 21, 2020",7,101.59%,-60.31%,Nauru,254
MH,"October 21, 2020",8,,-79.25%,Marshall Islands (the),166
FM,"October 21, 2020",6,-21.08%,-89.19%,Micronesia (Federated States of),262
FJ,"October 21, 2020",2,2.34%,-80.11%,Fiji,5503
WS,"October 22, 2020",5,0.00%,-93.72%,Samoa,302
VU,"October 22, 2020",3,77.71%,-76.15%,Vanuatu,1658
TO,"October 22, 2020",4,-18.38%,-79.47%,Tonga,604
SB,"October 22, 2020",8,0.00%,-93.89%,Solomon Islands,144
PG,"October 22, 2020",1,-3.85%,-16.78%,Papua New Guinea,28809
NR,"October 22, 2020",6,101.59%,0.79%,Nauru,254
MH,"October 22, 2020",7,,-79.25%,Marshall Islands (the),166
FM,"October 22, 2020",9,-80.72%,-96.29%,Micronesia (Federated States of),96
FJ,"October 22, 2020",2,15.45%,-78.74%,Fiji,5776
WS,"October 23, 2020",5,0.00%,-93.80%,Samoa,302
VU,"October 23, 2020",3,77.71%,-77.42%,Vanuatu,1658
TO,"October 23, 2020",4,100.00%,-77.99%,Tonga,604
SB,"October 23, 2020",6,0.00%,-93.89%,Solomon Islands,144
PG,"October 23, 2020",1,-1.12%,-17.51%,Papua New Guinea,29154
FM,"October 23, 2020",7,-80.72%,-96.37%,Micronesia (Federated States of),96
FJ,"October 23, 2020",2,23.25%,-77.50%,Fiji,6166
WS,"October 24, 2020",5,0.00%,-93.59%,Samoa,302
VU,"October 24, 2020",3,95.93%,-74.88%,Vanuatu,1828
TO,"October 24, 2020",4,100.00%,-75.75%,Tonga,604
SB,"October 24, 2020",7,0.00%,-93.89%,Solomon Islands,144
PG,"October 24, 2020",1,-6.62%,-21.44%,Papua New Guinea,27939
FM,"October 24, 2020",6,-36.64%,-93.85%,Micronesia (Federated States of),166
FJ,"October 24, 2020",2,26.90%,-76.32%,Fiji,6340
WS,"October 25, 2020",5,0.00%,-93.76%,Samoa,302
VU,"October 25, 2020",3,95.93%,-75.13%,Vanuatu,1828
TO,"October 25, 2020",4,100.00%,-78.99%,Tonga,604
SB,"October 25, 2020",6,100.00%,-87.62%,Solomon Islands,288
PG,"October 25, 2020",1,-8.08%,-26.45%,Papua New Guinea,27175
FM,"October 25, 2020",7,-36.64%,-93.85%,Micronesia (Federated States of),166
FJ,"October 25, 2020",2,32.01%,-76.36%,Fiji,6450
WS,"October 26, 2020",5,0.00%,-93.76%,Samoa,302
VU,"October 26, 2020",3,52.95%,-79.24%,Vanuatu,1658
TO,"October 26, 2020",4,-50.00%,-89.50%,Tonga,302
SB,"October 26, 2020",6,100.00%,-88.21%,Solomon Islands,288
PG,"October 26, 2020",1,-16.48%,-30.40%,Papua New Guinea,25422
FM,"October 26, 2020",7,-36.64%,-93.04%,Micronesia (Federated States of),166
FJ,"October 26, 2020",2,10.08%,-77.31%,Fiji,6115
WS,"October 27, 2020",4,0.00%,-93.76%,Samoa,302
VU,"October 27, 2020",3,32.22%,-79.17%,Vanuatu,1658
SB,"October 27, 2020",5,100.00%,-87.92%,Solomon Islands,288
PG,"October 27, 2020",1,-13.93%,-29.96%,Papua New Guinea,25307
FM,"October 27, 2020",6,-36.64%,-93.66%,Micronesia (Federated States of),166
FJ,"October 27, 2020",2,-0.25%,-77.92%,Fiji,5884
WS,"October 28, 2020",4,0.00%,-93.76%,Samoa,302
VU,"October 28, 2020",3,0.00%,-81.63%,Vanuatu,1488
TO,"October 28, 2020",6,-70.86%,-93.93%,Tonga,176
SB,"October 28, 2020",5,100.00%,-87.92%,Solomon Islands,288
PG,"October 28, 2020",1,-11.14%,-28.31%,Papua New Guinea,25964
FM,"October 28, 2020",7,-36.64%,-93.46%,Micronesia (Federated States of),166
FJ,"October 28, 2020",2,11.88%,-77.05%,Fiji,6157
VU,"October 29, 2020",3,-20.51%,-83.73%,Vanuatu,1318
TO,"October 29, 2020",4,-25.33%,-84.66%,Tonga,451
SB,"October 29, 2020",5,100.00%,-87.92%,Solomon Islands,288
PG,"October 29, 2020",1,-10.32%,-26.97%,Papua New Guinea,25837
FM,"October 29, 2020",6,189.58%,-89.21%,Micronesia (Federated States of),278
FJ,"October 29, 2020",2,7.10%,-77.23%,Fiji,6186
WS,"October 30, 2020",5,0.00%,-93.63%,Samoa,302
VU,"October 30, 2020",3,-20.51%,-84.14%,Vanuatu,1318
TO,"October 30, 2020",4,-25.33%,-84.70%,Tonga,451
SB,"October 30, 2020",6,100.00%,-88.55%,Solomon Islands,288
PG,"October 30, 2020",1,-13.12%,-28.87%,Papua New Guinea,25330
NR,"October 30, 2020",8,,-77.72%,Nauru,254
MH,"October 30, 2020",9,,-80.14%,Marshall Islands (the),224
FM,"October 30, 2020",7,189.58%,-88.46%,Micronesia (Federated States of),278
FJ,"October 30, 2020",2,-3.47%,-78.10%,Fiji,5952
WS,"October 31, 2020",5,0.00%,-93.84%,Samoa,302
VU,"October 31, 2020",3,-37.20%,-85.87%,Vanuatu,1148
TO,"October 31, 2020",4,-25.33%,-86.17%,Tonga,451
SB,"October 31, 2020",6,100.00%,-88.55%,Solomon Islands,288
PG,"October 31, 2020",1,-5.61%,-25.86%,Papua New Guinea,26371
NR,"October 31, 2020",7,,-77.72%,Nauru,254
MH,"October 31, 2020",9,,-80.14%,Marshall Islands (the),224
FM,"October 31, 2020",8,34.94%,-90.71%,Micronesia (Federated States of),224
FJ,"October 31, 2020",2,-8.75%,-78.70%,Fiji,5785
WS,"November 1, 2020",5,0.00%,-93.63%,Samoa,302
VU,"November 1, 2020",3,-37.20%,-85.66%,Vanuatu,1148
TO,"November 1, 2020",4,-25.33%,-84.50%,Tonga,451
SB,"November 1, 2020",9,-50.00%,-94.43%,Solomon Islands,144
PW,"November 1, 2020",10,,-95.32%,Palau,112
PG,"November 1, 2020",1,-0.88%,-23.07%,Papua New Guinea,26937
NR,"November 1, 2020",6,,-77.72%,Nauru,254
MH,"November 1, 2020",8,,-81.94%,Marshall Islands (the),224
FM,"November 1, 2020",7,34.94%,-90.71%,Micronesia (Federated States of),224
FJ,"November 1, 2020",2,-5.13%,-76.98%,Fiji,6119
WS,"November 2, 2020",5,0.00%,-93.84%,Samoa,302
VU,"November 2, 2020",3,-26.90%,-84.40%,Vanuatu,1212
TO,"November 2, 2020",4,49.34%,-84.58%,Tonga,451
SB,"November 2, 2020",9,-50.00%,-94.12%,Solomon Islands,144
PW,"November 2, 2020",10,,-95.65%,Palau,112
PG,"November 2, 2020",1,10.77%,-18.56%,Papua New Guinea,28160
NR,"November 2, 2020",6,,-77.72%,Nauru,254
MH,"November 2, 2020",8,,-80.14%,Marshall Islands (the),224
FM,"November 2, 2020",7,34.94%,-91.73%,Micronesia (Federated States of),224
FJ,"November 2, 2020",2,0.07%,-76.83%,Fiji,6119
WS,"November 3, 2020",5,0.00%,-93.85%,Samoa,302
VU,"November 3, 2020",3,-30.76%,-85.11%,Vanuatu,1148
TO,"November 3, 2020",4,,-84.66%,Tonga,451
SB,"November 3, 2020",9,-50.00%,-94.12%,Solomon Islands,144
PW,"November 3, 2020",10,,-95.64%,Palau,112
PG,"November 3, 2020",1,11.10%,-16.73%,Papua New Guinea,28116
NR,"November 3, 2020",6,,-77.72%,Nauru,254
MH,"November 3, 2020",8,,-79.89%,Marshall Islands (the),224
FM,"November 3, 2020",7,34.94%,-91.07%,Micronesia (Federated States of),224
FJ,"November 3, 2020",2,-1.33%,-77.87%,Fiji,5806
WS,"November 4, 2020",5,0.00%,-93.50%,Samoa,302
VU,"November 4, 2020",3,-15.73%,-83.94%,Vanuatu,1254
TO,"November 4, 2020",4,227.84%,-79.94%,Tonga,577
SB,"November 4, 2020",9,-50.00%,-94.12%,Solomon Islands,144
PW,"November 4, 2020",10,,-95.69%,Palau,112
PG,"November 4, 2020",1,10.41%,-15.88%,Papua New Guinea,28667
NR,"November 4, 2020",6,,-71.40%,Nauru,254
MH,"November 4, 2020",8,,-80.59%,Marshall Islands (the),224
FM,"November 4, 2020",7,34.94%,-91.63%,Micronesia (Federated States of),224
FJ,"November 4, 2020",2,2.58%,-75.63%,Fiji,6316
WS,"November 5, 2020",4,,-87.44%,Samoa,604
VU,"November 5, 2020",3,8.04%,-81.70%,Vanuatu,1424
TO,"November 5, 2020",5,-33.04%,-89.56%,Tonga,302
SB,"November 5, 2020",8,-50.00%,-94.43%,Solomon Islands,144
PW,"November 5, 2020",10,,-95.37%,Palau,112
PG,"November 5, 2020",1,17.46%,-14.79%,Papua New Guinea,30348
NR,"November 5, 2020",6,,-66.67%,Nauru,254
MH,"November 5, 2020",7,,-80.59%,Marshall Islands (the),224
FM,"November 5, 2020",9,-59.71%,-95.54%,Micronesia (Federated States of),112
FJ,"November 5, 2020",2,1.15%,-75.32%,Fiji,6257
WS,"November 6, 2020",5,0.00%,-93.69%,Samoa,302
VU,"November 6, 2020",3,8.04%,-81.35%,Vanuatu,1424
TO,"November 6, 2020",4,-33.04%,-89.56%,Tonga,302
SB,"November 6, 2020",6,-50.00%,-94.43%,Solomon Islands,144
PW,"November 6, 2020",8,,-95.31%,Palau,112
PG,"November 6, 2020",1,23.95%,-10.92%,Papua New Guinea,31396
FM,"November 6, 2020",7,-59.71%,-95.81%,Micronesia (Federated States of),112
FJ,"November 6, 2020",2,2.22%,-75.31%,Fiji,6084
WS,"November 7, 2020",5,0.00%,-93.69%,Samoa,302
VU,"November 7, 2020",3,38.85%,-79.62%,Vanuatu,1594
TO,"November 7, 2020",4,-33.04%,-89.57%,Tonga,302
SB,"November 7, 2020",6,-50.00%,-94.71%,Solomon Islands,144
PW,"November 7, 2020",8,,-95.59%,Palau,112
PG,"November 7, 2020",1,18.49%,-10.82%,Papua New Guinea,31248
FM,"November 7, 2020",7,-50.00%,-95.78%,Micronesia (Federated States of),112
FJ,"November 7, 2020",2,5.86%,-75.01%,Fiji,6124
WS,"November 8, 2020",4,6.29%,-92.86%,Samoa,321
VU,"November 8, 2020",3,38.85%,-79.89%,Vanuatu,1594
TO,"November 8, 2020",5,-33.04%,-89.51%,Tonga,302
SB,"November 8, 2020",6,0.00%,-94.71%,Solomon Islands,144
PG,"November 8, 2020",1,16.31%,-11.48%,Papua New Guinea,31331
FM,"November 8, 2020",7,-50.00%,-95.94%,Micronesia (Federated States of),112
FJ,"November 8, 2020",2,-0.96%,-75.96%,Fiji,6060
WS,"November 9, 2020",4,6.29%,-93.18%,Samoa,321
VU,"November 9, 2020",3,26.24%,-80.92%,Vanuatu,1530
TO,"November 9, 2020",5,-33.04%,-89.49%,Tonga,302
SB,"November 9, 2020",6,0.00%,-94.75%,Solomon Islands,144
PG,"November 9, 2020",1,10.42%,-13.67%,Papua New Guinea,31095
FM,"November 9, 2020",7,-50.00%,-96.27%,Micronesia (Federated States of),112
FJ,"November 9, 2020",2,1.06%,-75.50%,Fiji,6184
WS,"November 10, 2020",4,6.29%,-93.17%,Samoa,321
VU,"November 10, 2020",3,38.85%,-80.54%,Vanuatu,1594
TO,"November 10, 2020",5,-33.04%,-89.49%,Tonga,302
SB,"November 10, 2020",6,0.00%,-94.92%,Solomon Islands,144
PG,"November 10, 2020",1,11.23%,-10.71%,Papua New Guinea,31273
FM,"November 10, 2020",7,-50.00%,-96.29%,Micronesia (Federated States of),112
FJ,"November 10, 2020",2,7.20%,-75.95%,Fiji,6224
WS,"November 11, 2020",4,6.29%,-93.14%,Samoa,321
VU,"November 11, 2020",3,32.22%,-79.55%,Vanuatu,1658
TO,"November 11, 2020",5,-47.66%,-89.49%,Tonga,302
SB,"November 11, 2020",6,0.00%,-94.92%,Solomon Islands,144
PG,"November 11, 2020",1,5.42%,-12.67%,Papua New Guinea,30221
FM,"November 11, 2020",7,-50.00%,-96.10%,Micronesia (Federated States of),112
FJ,"November 11, 2020",2,-3.40%,-75.83%,Fiji,6101
WS,"November 12, 2020",4,-46.85%,-93.14%,Samoa,321
VU,"November 12, 2020",3,4.49%,-82.02%,Vanuatu,1488
TO,"November 12, 2020",5,0.00%,-89.49%,Tonga,302
SB,"November 12, 2020",7,44.44%,-92.67%,Solomon Islands,208
PW,"November 12, 2020",8,41.07%,-93.77%,Palau,158
